	value	group	group2
AS10	-3.051970925	nonhealthy	AS
AS11	4.26552585	nonhealthy	AS
AS12	-4.398296013	nonhealthy	AS
AS13	0.153633415	nonhealthy	AS
AS14	-0.411239775	nonhealthy	AS
AS15	-1.907420393	nonhealthy	AS
AS16	0.112841009	nonhealthy	AS
AS17	1.467627134	nonhealthy	AS
AS18	0.54476659	nonhealthy	AS
AS19	0.825271415	nonhealthy	AS
AS1	-1.229256301	nonhealthy	AS
AS20	-0.274627146	nonhealthy	AS
AS21	-0.412178728	nonhealthy	AS
AS22	-1.221161156	nonhealthy	AS
AS23	-0.845565056	nonhealthy	AS
AS24	-0.651050205	nonhealthy	AS
AS25	1.013668247	nonhealthy	AS
AS26	-2.111481768	nonhealthy	AS
AS27	0.916154518	nonhealthy	AS
AS28	0.088984316	nonhealthy	AS
AS29	0.649111803	nonhealthy	AS
AS2	-0.221820912	nonhealthy	AS
AS30	-0.232964517	nonhealthy	AS
AS31	0.448204708	nonhealthy	AS
AS32	0.927831369	nonhealthy	AS
AS33	-0.267064044	nonhealthy	AS
AS34	0.746861928	nonhealthy	AS
AS35	0.217442083	nonhealthy	AS
AS36	0.729288668	nonhealthy	AS
AS37	-0.07184965	nonhealthy	AS
AS38	-0.624031917	nonhealthy	AS
AS39	0.036220759	nonhealthy	AS
AS3	-0.928011385	nonhealthy	AS
AS40	0.795489427	nonhealthy	AS
AS41	0.977721015	nonhealthy	AS
AS42	-1.020730522	nonhealthy	AS
AS43	0.171263113	nonhealthy	AS
AS44	-0.39887796	nonhealthy	AS
AS45	0.234696219	nonhealthy	AS
AS46	-0.070480448	nonhealthy	AS
AS47	0.111992342	nonhealthy	AS
AS48	-0.09542288	nonhealthy	AS
AS49	-0.017999703	nonhealthy	AS
AS4	-1.489836994	nonhealthy	AS
AS50	-0.280508448	nonhealthy	AS
AS51	-0.39529545	nonhealthy	AS
AS52	0.131077019	nonhealthy	AS
AS53	-0.832626094	nonhealthy	AS
AS54	1.360831125	nonhealthy	AS
AS55	-0.599673111	nonhealthy	AS
AS56	-0.225676147	nonhealthy	AS
AS57	-0.537884227	nonhealthy	AS
AS58	-0.395726639	nonhealthy	AS
AS59	0.333987153	nonhealthy	AS
AS5	0.042252036	nonhealthy	AS
AS60	-0.337531616	nonhealthy	AS
AS61	0.471549821	nonhealthy	AS
AS62	0.691383823	nonhealthy	AS
